Transaction Date,Description,Category,Debit,Credit
8/5/2019,THE HOME DEPOT #7142,Merchandise,18.87,
8/5/2019,LCBO/RAO #0495,Merchandise,26.2,
8/6/2019,WATERLOO BREWING COMPA,Merchandise,17.9,
8/6/2019,TIM HORTONS #1986,Dining,1.74,
8/5/2019,KEY CENTRES,Merchandise,80.23,
8/4/2019,LCBO/RAO #0495,Merchandise,20,
8/3/2019,STOP RESTAURANT SUPPLY,Merchandise,31.59,
8/4/2019,EVENTBRITE/ANIGHTWITHD,Entertainment,65.68,
8/4/2019,NOFRILLS DOMENICS 793,Merchandise,18.98,
8/2/2019,THE BEER STORE #4040,Merchandise,74.05,
8/5/2019,Costco Annual Membership-,Fee/Interest Charge,135.6,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
